task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
198	0b/61c015	11459	igblast (195)	CACHED	0	2023-02-11 19:05:24.386	9s	7.5s	18.2%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
199	e1/96d5af	7031	igblast (196)	CACHED	0	2023-02-11 19:05:19.493	18.3s	16.8s	48.9%	78.9 MB	2.1 GB	17.3 MB	10 KB
197	23/6272f8	13313	igblast (194)	CACHED	0	2023-02-11 19:05:26.152	19.1s	17.7s	51.4%	79.3 MB	2.1 GB	17.3 MB	10.1 KB
204	bd/99c334	6455	igblast (201)	CACHED	0	2023-02-11 19:05:19.114	8.9s	7.2s	19.0%	51.2 MB	87.4 MB	7.8 MB	8.6 KB
206	e2/4674d1	12536	igblast (203)	CACHED	0	2023-02-11 19:05:25.402	8.4s	7s	19.2%	51.2 MB	87.4 MB	7.8 MB	8.5 KB
208	31/03b87d	21691	igblast (205)	CACHED	0	2023-02-11 19:05:33.859	8.2s	6.7s	21.1%	51.4 MB	87.4 MB	7.8 MB	8.6 KB
202	9b/99f494	6210	igblast (199)	CACHED	0	2023-02-11 19:05:18.788	9.1s	7.5s	18.8%	51.3 MB	87.4 MB	7.8 MB	8.5 KB
210	e8/1ce9a9	15177	igblast (207)	CACHED	0	2023-02-11 19:05:28.039	9s	7.6s	18.4%	48.9 MB	87.4 MB	7.8 MB	8.6 KB
203	8d/e8925d	13474	igblast (200)	CACHED	0	2023-02-11 19:05:26.395	19.6s	18.1s	50.7%	79.3 MB	2.1 GB	17.3 MB	10.1 KB
207	34/c56421	13404	igblast (204)	CACHED	0	2023-02-11 19:05:26.294	19.4s	17.9s	51.3%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
205	60/0f4fa7	11605	igblast (202)	CACHED	0	2023-02-11 19:05:24.527	19.7s	18.3s	49.0%	79 MB	2.1 GB	17.3 MB	10.1 KB
209	e4/f5adcd	21173	igblast (206)	CACHED	0	2023-02-11 19:05:33.428	17.9s	16.5s	48.2%	78.8 MB	2.1 GB	17.3 MB	10.2 KB
211	40/29954c	15056	igblast (208)	CACHED	0	2023-02-11 19:05:27.938	19s	17.5s	51.1%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
212	aa/674305	15233	igblast (209)	CACHED	0	2023-02-11 19:05:28.137	8.7s	7.3s	19.0%	49 MB	87.4 MB	7.8 MB	8.6 KB
201	c5/4f6bf9	12741	igblast (198)	CACHED	0	2023-02-11 19:05:25.540	19.2s	17.8s	50.6%	79 MB	2.1 GB	17.3 MB	10.1 KB
2	33/b18cc0	21489	backup	COMPLETED	0	2023-02-11 23:05:42.007	1.9s	18ms	8.2%	0	0	104.2 KB	337 B
214	88/44bb78	22551	igblast (211)	CACHED	0	2023-02-11 19:05:34.722	9.1s	7.5s	19.4%	51.2 MB	87.4 MB	7.8 MB	8.7 KB
220	a6/1050be	31339	igblast (217)	CACHED	0	2023-02-11 19:05:44.244	8.5s	7.2s	18.8%	51.2 MB	87.4 MB	7.8 MB	8.6 KB
216	f0/852909	25672	igblast (213)	CACHED	0	2023-02-11 19:05:37.942	7.9s	6.5s	22.0%	55.6 MB	87.5 MB	7.8 MB	8.9 KB
213	a7/2c1fd7	14510	igblast (210)	CACHED	0	2023-02-11 19:05:27.528	19.6s	18s	49.7%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
215	89/b57600	22767	igblast (212)	CACHED	0	2023-02-11 19:05:34.923	17.7s	16.3s	49.1%	79 MB	2.1 GB	17.3 MB	10.1 KB
219	c3/d14c1e	24876	igblast (216)	CACHED	0	2023-02-11 19:05:37.063	17.7s	16.3s	49.1%	79.3 MB	2.1 GB	17.3 MB	10.1 KB
226	72/fbab4e	32647	igblast (223)	CACHED	0	2023-02-11 19:05:45.362	9.3s	7.7s	18.1%	49 MB	87.4 MB	7.8 MB	8.7 KB
222	4d/2eb54d	25444	igblast (219)	CACHED	0	2023-02-11 19:05:37.828	8s	6.4s	22.1%	53.5 MB	87.5 MB	7.8 MB	8.9 KB
227	a5/3f6524	1704	igblast (224)	CACHED	0	2023-02-11 19:05:46.948	18.9s	17.5s	49.8%	78.8 MB	2.1 GB	17.3 MB	10 KB
217	ca/9ba962	24517	igblast (214)	CACHED	0	2023-02-11 19:05:36.842	18.2s	16.7s	48.1%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
228	d9/d79399	7774	igblast (225)	CACHED	0	2023-02-11 19:05:52.643	8.7s	7.2s	19.0%	48.7 MB	87.4 MB	7.8 MB	8.5 KB
224	c8/2ef4b2	29766	igblast (221)	CACHED	0	2023-02-11 19:05:42.063	7.6s	6.3s	21.7%	53.6 MB	87.5 MB	7.8 MB	8.8 KB
218	2b/2ebaf5	24652	igblast (215)	CACHED	0	2023-02-11 19:05:36.945	8.4s	6.9s	21.0%	58.4 MB	87.5 MB	7.8 MB	8.7 KB
221	f2/3cb2cc	827	igblast (218)	CACHED	0	2023-02-11 19:05:45.997	19.4s	18s	49.0%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
223	dd/72aaa6	6831	igblast (220)	CACHED	0	2023-02-11 19:05:51.800	19.4s	18s	48.5%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
225	3e/115e22	600	igblast (222)	CACHED	0	2023-02-11 19:05:45.734	19.2s	17.8s	51.2%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
232	26/b03561	31026	igblast (229)	CACHED	0	2023-02-11 19:05:43.797	8s	6.6s	20.4%	51.3 MB	87.4 MB	7.8 MB	8.7 KB
234	c3/34b9d4	4636	igblast (231)	CACHED	0	2023-02-11 19:05:49.702	8.6s	7.2s	18.7%	49 MB	87.4 MB	7.8 MB	8.7 KB
230	c9/ca71e2	1812	igblast (227)	CACHED	0	2023-02-11 19:05:47.117	8.4s	7.1s	18.6%	48.9 MB	87.4 MB	7.8 MB	8.8 KB
233	41/c2fbaf	10001	igblast (230)	CACHED	0	2023-02-11 19:05:54.704	19.6s	17.9s	49.4%	79.2 MB	2.1 GB	17.3 MB	10 KB
231	ea/f21450	756	igblast (228)	CACHED	0	2023-02-11 19:05:45.902	19.3s	17.9s	49.5%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
229	03/b01b5b	31974	igblast (226)	CACHED	0	2023-02-11 19:05:44.720	19.4s	18.1s	49.3%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
236	32/0e147a	32547	igblast (233)	CACHED	0	2023-02-11 19:05:45.251	8.3s	6.9s	19.4%	48.8 MB	87.4 MB	7.8 MB	8.7 KB
238	94/069019	8835	igblast (235)	CACHED	0	2023-02-11 19:05:53.578	9.1s	7.7s	18.1%	48.8 MB	87.4 MB	7.8 MB	8.6 KB
235	1c/4bd859	682	igblast (232)	CACHED	0	2023-02-11 19:05:45.820	19.2s	17.9s	49.5%	79.1 MB	2.1 GB	17.3 MB	10 KB
237	99/fa6826	7958	igblast (234)	CACHED	0	2023-02-11 19:05:52.769	19.4s	18s	49.1%	78.9 MB	2.1 GB	17.3 MB	10.2 KB
244	6a/6430cb	20398	igblast (241)	CACHED	0	2023-02-11 19:06:04.937	8.7s	7.1s	20.4%	53.7 MB	87.5 MB	7.8 MB	8.7 KB
242	11/73dd02	18393	igblast (239)	CACHED	0	2023-02-11 19:06:02.689	8s	6.6s	21.2%	51.3 MB	87.4 MB	7.8 MB	8.8 KB
241	41/cec739	10101	igblast (238)	CACHED	0	2023-02-11 19:05:54.800	19.6s	18s	49.2%	79.1 MB	2.1 GB	17.3 MB	10 KB
240	cd/b1ded7	10925	igblast (237)	CACHED	0	2023-02-11 19:05:55.527	8.4s	7s	20.3%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
239	0f/421127	6328	igblast (236)	CACHED	0	2023-02-11 19:05:51.325	19.6s	18.2s	48.6%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
243	1f/0109a0	17279	igblast (240)	CACHED	0	2023-02-11 19:06:01.377	17.4s	16.1s	48.8%	79 MB	2.1 GB	17.3 MB	10.2 KB
254	57/4d05bb	20888	igblast (251)	CACHED	0	2023-02-11 19:06:05.427	8.5s	6.9s	21.3%	55.6 MB	87.5 MB	7.8 MB	8.7 KB
250	b0/cccf29	19335	igblast (247)	CACHED	0	2023-02-11 19:06:03.939	8.5s	6.9s	20.0%	51.3 MB	87.4 MB	7.8 MB	8.9 KB
252	e9/2fbc7f	25653	igblast (249)	CACHED	0	2023-02-11 19:06:10.708	7.7s	6.3s	21.0%	54 MB	87.5 MB	7.8 MB	8.8 KB
248	69/a18559	20698	igblast (245)	CACHED	0	2023-02-11 19:06:05.253	9s	6.8s	21.1%	53.8 MB	87.5 MB	7.8 MB	8.7 KB
246	bc/1abeab	20581	igblast (243)	CACHED	0	2023-02-11 19:06:05.083	9s	7.1s	20.7%	53.8 MB	87.5 MB	7.8 MB	8.7 KB
245	03/c76fa9	13901	igblast (242)	CACHED	0	2023-02-11 19:05:58.290	17.8s	16.3s	50.3%	78.7 MB	2.1 GB	17.3 MB	10.1 KB
251	e8/a37964	19430	igblast (248)	CACHED	0	2023-02-11 19:06:04.136	17.3s	15.9s	48.3%	79.2 MB	2.1 GB	17.3 MB	10.3 KB
249	6c/86f1fe	21242	igblast (246)	CACHED	0	2023-02-11 19:06:05.829	16.9s	15.5s	49.4%	78.8 MB	2.1 GB	17.3 MB	10.1 KB
253	84/0a197c	10434	igblast (250)	CACHED	0	2023-02-11 19:05:55.096	19s	17.3s	50.7%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
247	0d/0d2604	25723	igblast (244)	CACHED	0	2023-02-11 19:06:10.902	17.9s	16.5s	48.4%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
258	73/9b777f	26907	igblast (255)	CACHED	0	2023-02-11 19:06:12.142	8.5s	7.2s	19.0%	51.4 MB	87.4 MB	7.8 MB	8.8 KB
256	33/1749ce	26086	igblast (253)	CACHED	0	2023-02-11 19:06:11.210	8.1s	6.8s	19.3%	53.4 MB	87.5 MB	7.8 MB	8.8 KB
259	57/1ed5a1	27355	igblast (256)	CACHED	0	2023-02-11 19:06:12.466	18.9s	17.6s	48.8%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
257	18/a6d46d	28920	igblast (254)	CACHED	0	2023-02-11 19:06:14.221	19.4s	17.9s	49.5%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
255	d1/28330e	28367	igblast (252)	CACHED	0	2023-02-11 19:06:13.632	19.2s	17.6s	50.0%	79 MB	2.1 GB	17.3 MB	10.1 KB
260	8f/e4589c	28811	igblast (257)	CACHED	0	2023-02-11 19:06:14.062	9.2s	7.7s	18.2%	48.8 MB	87.4 MB	7.8 MB	8.6 KB
268	27/df5955	976	igblast (265)	CACHED	0	2023-02-11 19:06:18.797	9s	7.5s	18.5%	51.3 MB	87.4 MB	7.8 MB	8.9 KB
262	fb/de2b38	29045	igblast (259)	CACHED	0	2023-02-11 19:06:14.375	8.6s	7.2s	18.6%	49 MB	87.4 MB	7.8 MB	8.7 KB
267	27/cc980c	5645	igblast (264)	CACHED	0	2023-02-11 19:06:22.789	19.9s	18.3s	50.8%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
261	bf/468149	28760	igblast (258)	CACHED	0	2023-02-11 19:06:13.959	19.1s	17.6s	49.9%	79 MB	2.1 GB	17.3 MB	10.1 KB
265	a3/5d0c25	30610	igblast (262)	CACHED	0	2023-02-11 19:06:16.085	18.8s	17.4s	49.0%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
263	b8/5afbe4	28866	igblast (260)	CACHED	0	2023-02-11 19:06:14.137	19.6s	17.9s	49.2%	78.9 MB	2.1 GB	17.3 MB	10 KB
272	ef/16d5af	6434	igblast (269)	CACHED	0	2023-02-11 19:06:23.232	8.9s	7.5s	19.6%	49 MB	87.4 MB	7.8 MB	8.7 KB
274	d3/54659a	3995	igblast (271)	CACHED	0	2023-02-11 19:06:21.456	8.2s	6.8s	20.3%	48.9 MB	87.4 MB	7.8 MB	8.7 KB
266	9b/aed3cf	28978	igblast (263)	CACHED	0	2023-02-11 19:06:14.291	8.8s	7.2s	18.7%	49.1 MB	87.4 MB	7.8 MB	8.8 KB
264	3a/2a579e	838	igblast (261)	CACHED	0	2023-02-11 19:06:18.459	8.4s	6.9s	19.0%	51.1 MB	87.4 MB	7.8 MB	8.7 KB
270	a0/6c70de	11250	igblast (267)	CACHED	0	2023-02-11 19:06:27.788	8.6s	7.2s	19.8%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
271	00/7c555a	3228	igblast (268)	CACHED	0	2023-02-11 19:06:20.676	18.5s	17.1s	48.5%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
273	c1/8be7f0	6055	igblast (270)	CACHED	0	2023-02-11 19:06:22.984	19.6s	18s	51.0%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
269	55/49156c	6352	igblast (266)	CACHED	0	2023-02-11 19:06:23.095	19.7s	18.1s	50.8%	79 MB	2.1 GB	17.3 MB	10.2 KB
275	1e/205cf8	1725	igblast (272)	CACHED	0	2023-02-11 19:06:19.374	18.7s	17.3s	48.1%	78.8 MB	2.1 GB	17.3 MB	10.1 KB
276	bc/a408cb	12013	igblast (273)	CACHED	0	2023-02-11 19:06:28.823	8.1s	6.7s	20.5%	51.2 MB	87.4 MB	7.8 MB	8.7 KB
278	e7/5eeb99	14141	igblast (275)	CACHED	0	2023-02-11 19:06:31.362	7.8s	6.4s	21.2%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
280	67/1bad17	14762	igblast (277)	CACHED	0	2023-02-11 19:06:32.173	9.5s	8.2s	20.1%	51.3 MB	87.4 MB	7.8 MB	8.6 KB
279	5c/de88c5	10292	igblast (276)	CACHED	0	2023-02-11 19:06:26.852	18.7s	17.3s	49.9%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
277	7e/561487	12766	igblast (274)	CACHED	0	2023-02-11 19:06:29.715	18.7s	17.3s	46.3%	79.3 MB	2.1 GB	17.3 MB	10.2 KB
281	2b/63344a	19326	igblast (278)	CACHED	0	2023-02-11 19:06:36.399	18.7s	17.3s	46.6%	78.9 MB	2.1 GB	17.3 MB	10.2 KB
282	18/5e74d3	17739	igblast (279)	CACHED	0	2023-02-11 19:06:34.925	8.7s	7.3s	18.8%	53.6 MB	87.5 MB	7.8 MB	8.8 KB
288	bc/0098ff	25453	igblast (285)	CACHED	0	2023-02-11 19:06:42.610	8.5s	7s	19.2%	51.6 MB	87.4 MB	7.8 MB	8.7 KB
283	e4/0f623c	16512	igblast (280)	CACHED	0	2023-02-11 19:06:33.725	19.5s	18s	46.2%	78.9 MB	2.1 GB	17.3 MB	10.2 KB
290	45/8cacb3	15541	igblast (287)	CACHED	0	2023-02-11 19:06:32.866	8.9s	7.5s	20.9%	51.5 MB	87.4 MB	7.8 MB	8.6 KB
284	a8/20dbcf	19751	igblast (281)	CACHED	0	2023-02-11 19:06:36.962	8.8s	7.4s	19.2%	58.3 MB	87.6 MB	7.8 MB	8.6 KB
292	d9/594a69	22037	igblast (289)	CACHED	0	2023-02-11 19:06:39.237	9.3s	7.3s	18.4%	49.4 MB	87.4 MB	7.8 MB	8.5 KB
286	c5/c3c7a4	20881	igblast (283)	CACHED	0	2023-02-11 19:06:38.093	9.5s	8.1s	17.6%	43.6 MB	87.4 MB	7.8 MB	8.7 KB
291	cb/99eea5	25562	igblast (288)	CACHED	0	2023-02-11 19:06:42.708	18.7s	17.3s	49.4%	79 MB	2.1 GB	17.3 MB	10.2 KB
285	df/8b092a	15725	igblast (282)	CACHED	0	2023-02-11 19:06:33.046	19.1s	17.7s	47.4%	79.3 MB	2.1 GB	17.3 MB	10.1 KB
287	2f/5978a7	16346	igblast (284)	CACHED	0	2023-02-11 19:06:33.611	19.3s	17.8s	46.6%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
289	64/b4594a	24248	igblast (286)	CACHED	0	2023-02-11 19:06:41.799	18.8s	17.3s	50.1%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
294	cd/895991	21973	igblast (291)	CACHED	0	2023-02-11 19:06:39.130	9.6s	7.9s	17.9%	51.2 MB	87.4 MB	7.8 MB	8.4 KB
296	2c/bb1b5c	25618	igblast (293)	CACHED	0	2023-02-11 19:06:42.802	9s	7.6s	18.3%	51.3 MB	87.4 MB	7.8 MB	8.6 KB
293	6e/075957	24197	igblast (290)	CACHED	0	2023-02-11 19:06:41.674	18.8s	17.3s	49.2%	78.8 MB	2.1 GB	17.3 MB	10.2 KB
295	2e/a71b2f	28133	igblast (292)	CACHED	0	2023-02-11 19:06:45.585	18.4s	16.9s	50.6%	78.8 MB	2.1 GB	17.3 MB	10 KB
297	15/486a66	28460	igblast (294)	CACHED	0	2023-02-11 19:06:45.742	18.3s	16.9s	50.7%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
302	66/5a14ec	31581	igblast (299)	CACHED	0	2023-02-11 19:06:48.519	9s	7.4s	18.7%	51.3 MB	87.4 MB	7.8 MB	8.8 KB
298	c8/13501e	30582	igblast (295)	CACHED	0	2023-02-11 19:06:47.631	8.4s	7s	19.6%	51.4 MB	87.4 MB	7.8 MB	8.6 KB
300	10/85a2c2	1648	igblast (297)	CACHED	0	2023-02-11 19:06:51.090	8.7s	7.3s	19.3%	51.3 MB	87.4 MB	7.8 MB	8.7 KB
304	dd/7b54bf	2595	igblast (301)	CACHED	0	2023-02-11 19:06:52.166	8.9s	7.5s	19.4%	51.5 MB	87.4 MB	7.8 MB	8.7 KB
306	73/1c3891	3180	igblast (303)	CACHED	0	2023-02-11 19:06:52.884	8.7s	7.2s	19.5%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
307	6e/d0e1d5	3543	igblast (304)	CACHED	0	2023-02-11 19:06:53.236	18.5s	17.1s	46.9%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
308	a1/e1093f	6974	igblast (305)	CACHED	0	2023-02-11 19:06:56.061	8.4s	7s	19.5%	51.3 MB	87.4 MB	7.8 MB	8.6 KB
301	d2/7419fa	31409	igblast (298)	CACHED	0	2023-02-11 19:06:48.403	18.6s	17.1s	48.8%	78.8 MB	2.1 GB	17.3 MB	10.3 KB
299	f8/1b3a20	26414	igblast (296)	CACHED	0	2023-02-11 19:06:43.659	19s	17.5s	49.5%	79 MB	2.1 GB	17.3 MB	10.2 KB
303	fc/f802d0	31895	igblast (300)	CACHED	0	2023-02-11 19:06:48.738	18.7s	17.3s	47.9%	79.1 MB	2.1 GB	17.3 MB	10 KB
305	77/ed4cb9	2170	igblast (302)	CACHED	0	2023-02-11 19:06:51.847	18.3s	16.8s	48.2%	78.7 MB	2.1 GB	17.3 MB	10.1 KB
312	0f/1c09c5	11924	igblast (309)	CACHED	0	2023-02-11 19:07:01.426	8.6s	7s	20.0%	48.9 MB	87.4 MB	7.8 MB	8.8 KB
310	c8/05b3c3	5588	igblast (307)	CACHED	0	2023-02-11 19:06:55.143	8s	6.6s	21.9%	51.2 MB	87.4 MB	7.8 MB	8.7 KB
313	c1/0ec1c1	11018	igblast (310)	CACHED	0	2023-02-11 19:07:00.601	18.6s	17.1s	50.2%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
311	e5/a9037c	10410	igblast (308)	CACHED	0	2023-02-11 19:06:59.782	18.6s	17.2s	49.7%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
309	81/2fbcd5	8306	igblast (306)	CACHED	0	2023-02-11 19:06:57.525	18.3s	16.9s	46.4%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
314	2e/424bc8	11498	igblast (311)	CACHED	0	2023-02-11 19:07:01.085	8s	6.6s	20.4%	51.5 MB	87.4 MB	7.8 MB	8.7 KB
322	b3/bd16b3	17777	igblast (319)	CACHED	0	2023-02-11 19:07:07.478	9s	7.6s	18.6%	51.2 MB	87.4 MB	7.8 MB	8.7 KB
320	d9/de9a85	13598	igblast (317)	CACHED	0	2023-02-11 19:07:03.141	8.7s	7.2s	18.7%	49 MB	87.4 MB	7.8 MB	8.8 KB
316	6b/b4b138	12944	igblast (313)	CACHED	0	2023-02-11 19:07:02.637	8.4s	7s	19.1%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
323	45/51f78a	14223	igblast (320)	CACHED	0	2023-02-11 19:07:04.041	18.8s	17.4s	50.2%	79 MB	2.1 GB	17.3 MB	10.2 KB
319	48/75cc79	17146	igblast (316)	CACHED	0	2023-02-11 19:07:07.053	19.1s	17.7s	47.8%	78.9 MB	2.1 GB	17.3 MB	10.3 KB
324	49/005f68	19778	igblast (321)	CACHED	0	2023-02-11 19:07:09.176	8.5s	7s	19.9%	51.3 MB	87.4 MB	7.8 MB	8.8 KB
321	82/7a2aa4	14796	igblast (318)	CACHED	0	2023-02-11 19:07:04.480	18.9s	17.5s	49.5%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
315	6a/88d2f7	12035	igblast (312)	CACHED	0	2023-02-11 19:07:01.643	19.2s	17.8s	48.9%	79 MB	2.1 GB	17.3 MB	10.1 KB
317	ef/99a0fa	14176	igblast (314)	CACHED	0	2023-02-11 19:07:03.956	18.8s	17.4s	49.6%	79 MB	2.1 GB	17.3 MB	10.1 KB
318	84/919d46	10923	igblast (315)	CACHED	0	2023-02-11 19:07:00.507	8.6s	7.2s	18.9%	51.5 MB	87.4 MB	7.8 MB	8.6 KB
326	d7/2fd034	21645	igblast (323)	CACHED	0	2023-02-11 19:07:11.035	8.3s	6.9s	20.5%	51.3 MB	87.4 MB	7.8 MB	8.7 KB
328	f0/fe4100	20569	igblast (325)	CACHED	0	2023-02-11 19:07:10.031	8.8s	7.3s	19.5%	51.3 MB	87.4 MB	7.8 MB	8.7 KB
325	2d/320554	19632	igblast (322)	CACHED	0	2023-02-11 19:07:09.067	19.1s	17.6s	48.3%	79.1 MB	2.1 GB	17.3 MB	10 KB
327	16/ad0c44	22553	igblast (324)	CACHED	0	2023-02-11 19:07:11.864	18.1s	16.7s	49.7%	78.9 MB	2.1 GB	17.3 MB	10 KB
329	69/0148cd	20764	igblast (326)	CACHED	0	2023-02-11 19:07:10.138	18.6s	17.2s	49.2%	79 MB	2.1 GB	17.3 MB	10 KB
338	23/ec9790	30361	igblast (335)	CACHED	0	2023-02-11 19:07:19.333	8.8s	7.4s	19.6%	51.2 MB	87.4 MB	7.8 MB	8.7 KB
336	df/4e20ce	29844	igblast (333)	CACHED	0	2023-02-11 19:07:18.824	8.5s	7s	19.9%	51.1 MB	87.4 MB	7.8 MB	8.9 KB
332	e7/1d69d0	28548	igblast (329)	CACHED	0	2023-02-11 19:07:17.653	8.2s	6.9s	20.5%	51.1 MB	87.4 MB	7.8 MB	8.9 KB
330	fc/0f9a61	22491	igblast (327)	CACHED	0	2023-02-11 19:07:11.754	8.1s	6.7s	21.2%	51.6 MB	87.4 MB	7.8 MB	8.9 KB
334	a5/bd7070	30219	igblast (331)	CACHED	0	2023-02-11 19:07:19.187	8.5s	7s	19.6%	51.2 MB	87.4 MB	7.8 MB	8.8 KB
1	85/19d765	21507	workflowParam	COMPLETED	0	2023-02-11 23:05:42.048	2.9s	1.2s	4.6%	3.2 MB	19.2 MB	131.8 KB	1.3 KB
339	51/691bbd	897	igblast (336)	CACHED	0	2023-02-11 19:07:22.887	18.5s	17.1s	49.4%	79.2 MB	2.1 GB	17.3 MB	10 KB
337	f1/a7f495	776	igblast (334)	CACHED	0	2023-02-11 19:07:22.787	18.2s	16.8s	49.6%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
333	3a/a27852	29428	igblast (330)	CACHED	0	2023-02-11 19:07:18.441	17.8s	16.4s	49.2%	78.9 MB	2.1 GB	17.3 MB	10.3 KB
331	52/27e1ef	26659	igblast (328)	CACHED	0	2023-02-11 19:07:15.810	17.9s	16.5s	49.1%	78.9 MB	2.1 GB	17.3 MB	10.2 KB
335	51/a0e196	27346	igblast (332)	CACHED	0	2023-02-11 19:07:16.503	17.6s	16.2s	49.1%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
340	0f/760b98	30878	igblast (337)	CACHED	0	2023-02-11 19:07:19.914	8.4s	6.9s	20.1%	51.5 MB	87.4 MB	7.8 MB	8.8 KB
344	b1/f99626	1645	igblast (341)	CACHED	0	2023-02-11 19:07:23.432	8.1s	6.7s	20.5%	51.4 MB	87.4 MB	7.8 MB	8.7 KB
342	0f/a3b408	31553	igblast (339)	CACHED	0	2023-02-11 19:07:20.816	8.3s	6.8s	20.5%	51.3 MB	87.4 MB	7.8 MB	8.8 KB
343	c2/deb03d	4530	igblast (340)	CACHED	0	2023-02-11 19:07:26.211	18.8s	17.5s	52.2%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
341	b4/c140a9	4110	igblast (338)	CACHED	0	2023-02-11 19:07:25.839	18.7s	17.3s	51.1%	79.1 MB	2.1 GB	17.3 MB	10 KB
345	61/e334d9	6690	igblast (342)	CACHED	0	2023-02-11 19:07:28.105	19.4s	18.1s	49.8%	79.5 MB	2.1 GB	17.3 MB	10.1 KB
348	d4/7a5148	6751	igblast (345)	CACHED	0	2023-02-11 19:07:28.196	9.3s	7.9s	17.8%	48.8 MB	87.4 MB	7.8 MB	8.4 KB
346	ab/8e8b3e	5668	igblast (343)	CACHED	0	2023-02-11 19:07:27.329	8.4s	6.9s	19.1%	51.3 MB	87.4 MB	7.8 MB	8.8 KB
350	af/9c2d93	10145	igblast (347)	CACHED	0	2023-02-11 19:07:31.536	8.3s	6.9s	19.9%	48.9 MB	87.4 MB	7.8 MB	8.8 KB
352	17/fde8af	15316	igblast (349)	CACHED	0	2023-02-11 19:07:36.268	8.6s	7.1s	20.6%	49.1 MB	87.4 MB	7.8 MB	8.8 KB
355	d5/f4a2c4	16793	igblast (352)	CACHED	0	2023-02-11 19:07:37.535	18.6s	17.2s	48.9%	78.8 MB	2.1 GB	17.3 MB	10.3 KB
354	a8/d80ab6	8575	igblast (351)	CACHED	0	2023-02-11 19:07:29.960	8.3s	6.9s	20.0%	49 MB	87.4 MB	7.8 MB	8.7 KB
353	fc/b87abf	7446	igblast (350)	CACHED	0	2023-02-11 19:07:28.798	19.7s	18.2s	50.0%	79.1 MB	2.1 GB	17.3 MB	10.3 KB
347	cf/dc2aec	6195	igblast (344)	CACHED	0	2023-02-11 19:07:27.692	19.4s	17.9s	50.9%	79.4 MB	2.1 GB	17.3 MB	10 KB
351	ad/b13f1c	12758	igblast (348)	CACHED	0	2023-02-11 19:07:34.112	18.6s	17.1s	48.4%	78.9 MB	2.1 GB	17.3 MB	10 KB
349	6b/9f3532	14576	igblast (346)	CACHED	0	2023-02-11 19:07:35.717	18s	16.6s	49.3%	79 MB	2.1 GB	17.3 MB	10.2 KB
356	be/de58e6	12444	igblast (353)	CACHED	0	2023-02-11 19:07:33.755	8.7s	7.2s	20.2%	48.7 MB	87.4 MB	7.8 MB	8.7 KB
358	23/60ae2f	17291	igblast (355)	CACHED	0	2023-02-11 19:07:38.064	8.2s	6.8s	21.1%	53.9 MB	87.5 MB	7.8 MB	8.6 KB
360	c8/cfb230	19127	igblast (357)	CACHED	0	2023-02-11 19:07:39.840	7.9s	6.4s	22.0%	51.1 MB	87.4 MB	7.8 MB	8.7 KB
359	bb/8c5f4d	6883	igblast (356)	CACHED	0	2023-02-11 19:07:28.293	19.4s	17.9s	49.9%	78.8 MB	2.1 GB	17.3 MB	10.3 KB
357	cb/fd73a4	20113	igblast (354)	CACHED	0	2023-02-11 19:07:41.004	18.5s	17s	49.0%	79 MB	2.1 GB	17.3 MB	10 KB
361	2d/490c3f	20589	igblast (358)	CACHED	0	2023-02-11 19:07:41.395	18.2s	16.7s	49.3%	79 MB	2.1 GB	17.3 MB	9.9 KB
