task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
71	d1/5b92ac	23435	igblast (68)	CACHED	0	2023-02-11 19:03:25.942	21.7s	19.9s	47.9%	79.4 MB	2.1 GB	17.3 MB	10.1 KB
72	10/fb461d	23726	igblast (69)	CACHED	0	2023-02-11 19:03:26.165	10.2s	8.4s	17.6%	44.8 MB	87.4 MB	7.8 MB	8.9 KB
73	3f/417cb4	31274	igblast (70)	CACHED	0	2023-02-11 19:03:34.141	19.8s	18.3s	48.0%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
76	58/f2e268	31837	igblast (73)	CACHED	0	2023-02-11 19:03:34.595	9.5s	8s	18.8%	64.1 MB	826 MB	7.8 MB	8.8 KB
74	a5/e22435	22393	igblast (71)	CACHED	0	2023-02-11 19:03:25.102	9.1s	7.6s	18.9%	63.7 MB	890 MB	7.8 MB	8.6 KB
75	af/363dbc	2712	igblast (72)	CACHED	0	2023-02-11 19:03:37.904	18.5s	17s	46.2%	79 MB	2.1 GB	17.3 MB	10.2 KB
78	b9/74b965	2443	igblast (75)	CACHED	0	2023-02-11 19:03:37.618	9.4s	7.8s	19.4%	48.8 MB	87.4 MB	7.8 MB	8.7 KB
77	e4/30ad18	30760	igblast (74)	CACHED	0	2023-02-11 19:03:33.480	19.5s	17.9s	46.2%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
79	c9/e3586e	8304	igblast (76)	CACHED	0	2023-02-11 19:03:43.745	19.2s	17.5s	49.6%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
80	8c/30e17e	1078	igblast (77)	CACHED	0	2023-02-11 19:03:36.358	9.3s	7.7s	19.4%	44.7 MB	87.4 MB	7.8 MB	8.8 KB
82	01/26b6d6	2381	igblast (79)	CACHED	0	2023-02-11 19:03:37.509	9.4s	7.9s	19.3%	65.7 MB	702.3 MB	7.8 MB	8.6 KB
83	2b/6445bd	8695	igblast (80)	CACHED	0	2023-02-11 19:03:44.154	19.1s	17.4s	50.1%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
81	9b/854014	9450	igblast (78)	CACHED	0	2023-02-11 19:03:45.101	19.2s	17.6s	50.8%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
84	a5/9627d5	8802	igblast (81)	CACHED	0	2023-02-11 19:03:44.271	8.6s	7.1s	19.8%	48.7 MB	87.4 MB	7.8 MB	8.6 KB
85	9f/11f46f	11285	igblast (82)	CACHED	0	2023-02-11 19:03:47.046	20.1s	18.4s	49.4%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
86	5b/2158de	1149	igblast (83)	CACHED	0	2023-02-11 19:03:36.517	9.6s	8s	19.1%	63.9 MB	890 MB	7.8 MB	8.7 KB
88	87/831fa8	11547	igblast (85)	CACHED	0	2023-02-11 19:03:47.260	9s	7.4s	18.3%	48.9 MB	87.4 MB	7.8 MB	8.6 KB
87	ab/c150c5	9928	igblast (84)	CACHED	0	2023-02-11 19:03:45.695	19.6s	18.1s	49.9%	79.3 MB	2.1 GB	17.3 MB	10 KB
94	36/acd203	12348	igblast (91)	CACHED	0	2023-02-11 19:03:48.225	8.9s	7.5s	18.5%	49 MB	87.4 MB	7.8 MB	8.8 KB
90	81/ca6c99	10613	igblast (87)	CACHED	0	2023-02-11 19:03:46.173	8.9s	7.5s	17.9%	48.9 MB	87.4 MB	7.8 MB	8.5 KB
95	b5/f0d232	18250	igblast (92)	CACHED	0	2023-02-11 19:03:53.976	18.4s	16.9s	50.2%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
91	be/75ff94	11231	igblast (88)	CACHED	0	2023-02-11 19:03:46.954	19.5s	18s	49.8%	79.5 MB	2.1 GB	17.3 MB	10.2 KB
97	b5/377103	17027	igblast (94)	CACHED	0	2023-02-11 19:03:53.023	18.6s	17.1s	49.6%	78.8 MB	2.1 GB	17.3 MB	10 KB
96	40/8461fe	16904	igblast (93)	CACHED	0	2023-02-11 19:03:52.841	8.5s	7.1s	19.7%	51.6 MB	87.4 MB	7.8 MB	8.7 KB
92	64/0bb42c	11389	igblast (89)	CACHED	0	2023-02-11 19:03:47.148	9.6s	7.9s	17.3%	48.9 MB	87.4 MB	7.8 MB	9 KB
93	8f/a55fce	11867	igblast (90)	CACHED	0	2023-02-11 19:03:47.507	19.2s	17.8s	50.5%	79.3 MB	2.1 GB	17.3 MB	10.1 KB
98	75/e0bfd2	20990	igblast (95)	CACHED	0	2023-02-11 19:03:56.379	7.8s	6.3s	22.0%	55.7 MB	87.5 MB	7.8 MB	8.9 KB
99	9e/867582	19568	igblast (96)	CACHED	0	2023-02-11 19:03:55.135	18.4s	17.1s	48.6%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
89	ec/208dcd	12019	igblast (86)	CACHED	0	2023-02-11 19:03:47.680	19.2s	17.8s	51.0%	79 MB	2.1 GB	17.3 MB	10.1 KB
100	96/59abdf	28424	igblast (97)	CACHED	0	2023-02-11 19:04:04.136	8.5s	7s	19.9%	48.7 MB	87.4 MB	7.8 MB	8.5 KB
101	28/c9789a	30299	igblast (98)	CACHED	0	2023-02-11 19:04:06.429	19.1s	17.6s	49.4%	79.1 MB	2.1 GB	17.3 MB	10.3 KB
102	b2/a536e2	27817	igblast (99)	CACHED	0	2023-02-11 19:04:03.317	8.4s	7.1s	19.6%	51.3 MB	87.4 MB	7.8 MB	8.7 KB
104	6d/3e078c	28567	igblast (101)	CACHED	0	2023-02-11 19:04:04.242	8.6s	7.1s	19.9%	51.2 MB	87.4 MB	7.8 MB	8.7 KB
103	c0/110db5	28715	igblast (100)	CACHED	0	2023-02-11 19:04:04.347	18.4s	17s	47.9%	79 MB	2.1 GB	17.3 MB	10.1 KB
106	08/0d1b12	20841	igblast (103)	CACHED	0	2023-02-11 19:03:56.249	7.9s	6.4s	22.0%	53.8 MB	87.5 MB	7.8 MB	8.9 KB
108	0a/90796e	26031	igblast (105)	CACHED	0	2023-02-11 19:04:01.392	7.8s	6.4s	21.4%	51.4 MB	87.4 MB	7.8 MB	8.8 KB
105	38/8ccfb3	21964	igblast (102)	CACHED	0	2023-02-11 19:03:57.165	17.8s	16.4s	49.9%	78.8 MB	2.1 GB	17.3 MB	10.1 KB
107	af/1cae1a	21630	igblast (104)	CACHED	0	2023-02-11 19:03:56.769	18.1s	16.6s	49.7%	79.3 MB	2.1 GB	17.3 MB	10.1 KB
110	50/2f5295	29346	igblast (107)	CACHED	0	2023-02-11 19:04:05.264	8.7s	7.3s	19.2%	51.4 MB	87.4 MB	7.8 MB	8.8 KB
112	61/ae82c5	31149	igblast (109)	CACHED	0	2023-02-11 19:04:06.909	8.4s	7s	19.7%	51.5 MB	87.4 MB	7.8 MB	8.8 KB
109	0e/92725c	27464	igblast (106)	CACHED	0	2023-02-11 19:04:02.967	17.4s	16s	48.3%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
111	d1/69c3f0	31051	igblast (108)	CACHED	0	2023-02-11 19:04:06.773	18.7s	17.2s	50.0%	78.9 MB	2.1 GB	17.3 MB	10.2 KB
113	34/55f2d8	31371	igblast (110)	CACHED	0	2023-02-11 19:04:07.126	18.7s	17.3s	50.3%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
115	5c/ae4723	3723	igblast (112)	CACHED	0	2023-02-11 19:04:11.715	19.4s	18s	49.7%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
114	cc/dc5670	12970	igblast (111)	CACHED	0	2023-02-11 19:04:20.419	8.1s	6.6s	21.6%	55.6 MB	87.5 MB	7.8 MB	8.8 KB
116	ef/72a887	3683	igblast (113)	CACHED	0	2023-02-11 19:04:11.626	8.6s	7.1s	19.0%	49 MB	87.4 MB	7.8 MB	8.9 KB
118	b0/c31b53	4792	igblast (115)	CACHED	0	2023-02-11 19:04:12.666	9.1s	7.6s	18.3%	49.1 MB	87.4 MB	7.8 MB	8.8 KB
117	76/1ea4e3	1220	igblast (114)	CACHED	0	2023-02-11 19:04:09.241	18.9s	17.5s	49.8%	78.9 MB	2.1 GB	17.3 MB	10.1 KB
119	86/925606	4044	igblast (116)	CACHED	0	2023-02-11 19:04:12.345	19.1s	17.7s	49.8%	79.3 MB	2.1 GB	17.3 MB	10.2 KB
120	89/364807	12742	igblast (117)	CACHED	0	2023-02-11 19:04:20.208	8s	6.6s	21.3%	53.7 MB	87.5 MB	7.8 MB	8.6 KB
121	be/07dc4a	5391	igblast (118)	CACHED	0	2023-02-11 19:04:13.602	18.6s	17s	50.5%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
122	e9/0406b1	15381	igblast (119)	CACHED	0	2023-02-11 19:04:22.747	8s	6.6s	21.2%	55.7 MB	87.5 MB	7.8 MB	8.8 KB
124	bf/6641e5	16577	igblast (121)	CACHED	0	2023-02-11 19:04:23.845	8.3s	6.9s	20.1%	53.6 MB	87.5 MB	7.8 MB	8.8 KB
126	60/3bb34b	7538	igblast (123)	CACHED	0	2023-02-11 19:04:15.328	8.4s	7s	20.1%	51.3 MB	87.4 MB	7.8 MB	8.6 KB
123	d1/0f9700	5066	igblast (120)	CACHED	0	2023-02-11 19:04:12.862	18.7s	17.3s	50.2%	79 MB	2.1 GB	17.3 MB	10.1 KB
125	02/7a786b	14377	igblast (122)	CACHED	0	2023-02-11 19:04:21.752	17.4s	16s	49.4%	78.8 MB	2.1 GB	17.3 MB	10 KB
127	c3/57600c	7083	igblast (124)	CACHED	0	2023-02-11 19:04:15.008	18.6s	17.2s	48.0%	79.1 MB	2.1 GB	17.3 MB	10.2 KB
128	28/db17ad	6135	igblast (125)	CACHED	0	2023-02-11 19:04:13.975	8.8s	7.3s	19.0%	48.8 MB	87.4 MB	7.8 MB	8.8 KB
129	2a/9aa298	15502	igblast (126)	CACHED	0	2023-02-11 19:04:22.846	18s	16.5s	49.8%	79.2 MB	2.1 GB	17.3 MB	10.2 KB
130	1c/62516c	6756	igblast (127)	CACHED	0	2023-02-11 19:04:14.864	9s	7.5s	19.1%	51.4 MB	87.4 MB	7.8 MB	8.6 KB
131	33/c0f62c	20235	igblast (128)	CACHED	0	2023-02-11 19:04:28.271	19.3s	18s	48.1%	78.9 MB	2.1 GB	17.3 MB	10.2 KB
132	15/d23cd9	16367	igblast (129)	CACHED	0	2023-02-11 19:04:23.720	8.3s	6.9s	20.2%	55.6 MB	87.5 MB	7.8 MB	8.7 KB
134	b6/056667	22299	igblast (131)	CACHED	0	2023-02-11 19:04:30.749	9.4s	7.9s	18.3%	49 MB	87.4 MB	7.8 MB	8.9 KB
133	b1/a13734	23982	igblast (130)	CACHED	0	2023-02-11 19:04:32.229	18.5s	17s	48.3%	79 MB	2.1 GB	17.3 MB	10.1 KB
135	35/4366a5	17739	igblast (132)	CACHED	0	2023-02-11 19:04:25.465	18.8s	17.3s	50.7%	78.8 MB	2.1 GB	17.3 MB	10.1 KB
136	e0/3da197	23241	igblast (133)	CACHED	0	2023-02-11 19:04:31.572	8.7s	7.2s	19.5%	49 MB	87.4 MB	7.8 MB	8.7 KB
146	d8/25f4e5	22876	igblast (143)	CACHED	0	2023-02-11 19:04:31.132	8.9s	7.5s	19.1%	49 MB	87.4 MB	7.8 MB	8.8 KB
145	d8/2f9848	23160	igblast (142)	CACHED	0	2023-02-11 19:04:31.476	18.3s	16.9s	49.9%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
144	8f/5da0be	23923	igblast (141)	CACHED	0	2023-02-11 19:04:32.141	8.6s	7.1s	19.5%	46.9 MB	87.4 MB	7.8 MB	8.8 KB
138	fc/6b42cf	25321	igblast (135)	CACHED	0	2023-02-11 19:04:33.664	8.8s	7.4s	19.0%	51.2 MB	87.4 MB	7.8 MB	8.8 KB
140	2d/fe604c	20574	igblast (137)	CACHED	0	2023-02-11 19:04:28.489	8.3s	6.9s	19.1%	48.8 MB	87.4 MB	7.8 MB	8.6 KB
142	7c/bf1080	32519	igblast (139)	CACHED	0	2023-02-11 19:04:40.054	8.9s	7.3s	19.6%	53.8 MB	87.5 MB	7.8 MB	8.8 KB
143	12/f78c83	20100	igblast (140)	CACHED	0	2023-02-11 19:04:28.167	18.9s	17.5s	49.2%	79.2 MB	2.1 GB	17.3 MB	10.1 KB
137	10/d13b21	17793	igblast (134)	CACHED	0	2023-02-11 19:04:25.563	18.6s	17.1s	49.8%	78.8 MB	2.1 GB	17.3 MB	10 KB
139	84/13519b	17912	igblast (136)	CACHED	0	2023-02-11 19:04:25.866	18.9s	17.5s	49.9%	79.1 MB	2.1 GB	17.3 MB	10.1 KB
141	89/5ebdf1	23706	igblast (138)	CACHED	0	2023-02-11 19:04:32.019	18.8s	17.4s	47.5%	80.9 MB	2.1 GB	17.3 MB	10 KB
